A,B,C,D,surface_roughness,build_time,compressive_strength
0.1,30,50,3,2.173,96,15.27
0.2,30,50,3,2.412,86,15.13
0.3,30,50,3,2.922,74,12.72
0.15,45,60,4,2.372,96,14.12
0.25,15,60,1,4.233,79,12.79
0.15,45,60,2,2.391,91,14.51
0.2,0,50,3,2.198,81,12.39
0.2,30,50,4,2.945,80,11.85
0.25,45,60,4,3.427,72,14.83
0.15,45,40,4,3.981,92,13.98
0.15,45,40,4,2.472,90,13.05
0.2,30,50,1,2.724,82,12.65
0.25,15,40,4,3.875,71,11.87
0.25,15,60,4,3.658,92,12.56
0.2,60,50,3,3.433,80,12.65
0.2,30,70,3,3.103,77,14.08
0.15,15,40,4,2.174,96,12.44
0.2,30,30,1,2.532,69,13.12
0.1,30,50,4,2.394,99,16.78
0.25,45,40,2,3.964,79,12.37
0.2,30,50,3,2.865,81,13.38
0.1,30,30,3,2.023,97,13.68
0.25,45,60,2,3.845,89,12.89
0.15,45,40,4,2.769,84,13.22
0.15,15,30,2,2.133,85,12.17
0.2,30,50,3,2.89,81,13.72
0.15,15,40,2,2.287,90,13.61
0.2,30,50,3,2.873,80,13.33
0.25,15,40,2,2.955,71,11.94
0.15,15,60,4,2.249,95,15.76
